"","club","sofifa_id","player_url","short_name","long_name","age","dob","height_cm","weight_kg","nationality","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","international_reputation","weak_foot","skill_moves","work_rate","body_type","real_face","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","nation_position","nation_jersey_number","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","league","country","player_positions.first","player_positions.class"
"1","1. FC Nürnberg",231110,"https://sofifa.com/player/231110/patrick-erras/20/159586","P. Erras","Patrick Erras",24,"1995-01-21",196,85,"Germany",70,75,2200000,7000,"CDM, CB, CM","Right",1,3,2,"Medium/High","Lean","Yes",3600000,"","SUB",29,"","2015-09-13",2020,"",NA,35,42,60,46,69,72,NA,NA,NA,NA,NA,NA,"Power Free-Kick",44,40,57,73,18,38,24,32,66,62,33,37,31,72,29,49,34,67,81,47,63,69,43,67,31,75,72,72,59,13,9,11,8,12,50,50,50,49,51,51,51,49,55,55,55,52,63,63,63,52,60,68,68,68,60,61,66,66,66,61,"Bundesliga","Germany","CDM","Midfielder"
"2","1. FC Nürnberg",231624,"https://sofifa.com/player/231624/fabian-schleusener/20/159586","F. Schleusener","Fabian Schleusener",27,"1991-10-24",186,80,"Germany",69,69,1100000,8000,"ST, LM","Right",1,4,3,"High/Medium","Normal","No",1800000,"","SUB",23,"","2019-07-10",2022,"",NA,80,67,58,66,28,69,NA,NA,NA,NA,NA,NA,"",63,73,57,63,65,64,57,39,49,67,76,84,68,67,66,71,68,70,75,55,51,26,68,58,54,66,29,22,20,6,9,14,7,8,68,68,68,67,67,67,67,67,64,64,64,66,58,58,58,66,51,47,47,47,51,48,42,42,42,48,"Bundesliga","Germany","ST","Forward"
"3","1. FC Nürnberg",237500,"https://sofifa.com/player/237500/dennis-lippert/20/159586","D. Lippert","Dennis Lippert",23,"1996-02-20",172,63,"Germany",61,70,350000,2000,"LB","Left",1,3,2,"Medium/Medium","Lean","No",630000,"","RES",34,"","2017-01-29",2020,"",NA,66,31,48,60,59,48,NA,NA,NA,NA,NA,NA,"",62,25,42,55,23,54,49,26,36,62,68,65,75,54,79,33,76,61,35,42,56,59,37,36,28,43,60,64,59,8,10,14,15,5,43,43,43,52,47,47,47,52,49,49,49,52,49,49,49,52,59,54,54,54,59,59,55,55,55,59,"Bundesliga","Germany","LB","Defender"
"4","1. FC Nürnberg",241190,"https://sofifa.com/player/241190/torles-knoll/20/159586","T. Knöll","Törles Knöll",21,"1997-09-13",184,79,"Germany",65,74,850000,3000,"ST","Right",1,3,2,"Medium/Medium","Normal","No",1500000,"","SUB",19,"","2018-07-01",2020,"",NA,59,64,46,61,25,59,NA,NA,NA,NA,NA,NA,"",32,69,64,54,54,58,47,40,39,64,55,63,65,64,66,63,66,59,68,59,33,19,68,52,52,51,20,23,17,7,12,8,12,12,63,63,63,58,61,61,61,58,59,59,59,56,52,52,52,56,41,40,40,40,41,39,38,38,38,39,"Bundesliga","Germany","ST","Forward"
"5","1. FC Nürnberg",239367,"https://sofifa.com/player/239367/robin-hack/20/159586","R. Hack","Robin Hack",20,"1998-08-27",176,69,"Germany",65,79,1200000,3000,"LW, ST","Right",1,4,4,"Medium/Medium","Lean","No",2600000,"","SUB",17,"","2019-07-01",2023,"",NA,80,60,53,73,32,45,NA,NA,NA,NA,NA,NA,"",56,67,47,52,60,72,53,49,48,72,83,77,83,54,82,66,36,51,45,42,38,27,55,55,54,60,31,31,29,8,9,9,10,9,61,61,61,64,63,63,63,64,61,61,61,62,53,53,53,62,49,43,43,43,49,46,38,38,38,46,"Bundesliga","Germany","LW","Forward"
"6","1. FC Nürnberg",251224,"https://sofifa.com/player/251224/paul-philipp-besong/20/159586","P. Besong","Paul-Philipp Besong",18,"2000-10-06",184,78,"Germany",58,77,260000,1000,"ST","Right",1,3,3,"Medium/Medium","Normal","No",579000,"","RES",27,"","2019-07-01",2023,"",NA,65,55,39,54,28,69,NA,NA,NA,NA,NA,NA,"",30,58,59,50,44,50,31,25,28,54,60,69,70,48,76,59,75,63,77,47,56,24,55,41,51,49,22,29,23,9,9,8,14,12,56,56,56,51,53,53,53,51,50,50,50,50,45,45,45,50,40,39,39,39,40,40,41,41,41,40,"Bundesliga","Germany","ST","Forward"
"7","1. FC Nürnberg",212248,"https://sofifa.com/player/212248/felix-lohkemper/20/159586","F. Lohkemper","Felix Lohkemper",24,"1995-01-26",180,76,"Germany",67,74,1100000,5000,"ST, LW, RW","Right",1,3,3,"Medium/Medium","Normal","No",2000000,"","SUB",7,"","2019-07-01",2022,"",NA,83,62,54,69,29,61,NA,NA,NA,NA,NA,NA,"",53,63,59,64,60,70,57,40,41,68,79,86,71,63,74,68,85,67,64,53,41,27,68,52,57,56,29,24,20,13,12,15,7,13,66,66,66,66,66,66,66,66,63,63,63,65,56,56,56,65,50,45,45,45,50,47,42,42,42,47,"Bundesliga","Germany","ST","Forward"
"8","1. FC Nürnberg",203725,"https://sofifa.com/player/203725/virgil-misidjan/20/159586","V. Misidjan","Virgil  Misidjan",25,"1993-07-24",173,70,"Netherlands",72,73,3700000,12000,"RW, RM, LM","Right",1,4,3,"Medium/Medium","Lean","Yes",6200000,"","RES",24,"","2018-08-31",2021,"",NA,86,64,64,77,29,59,NA,NA,NA,NA,NA,NA,"Selfish, Early Crosser",66,70,41,68,61,77,70,65,52,73,87,85,86,68,84,59,71,64,56,57,55,32,69,64,54,66,29,24,22,12,7,8,10,7,66,66,66,72,70,70,70,72,70,70,70,71,62,62,62,71,54,49,49,49,54,50,41,41,41,50,"Bundesliga","Germany","RW","Forward"
"9","1. FC Nürnberg",233960,"https://sofifa.com/player/233960/lukas-muhl/20/159586","L. Mühl","Lukas Mühl",22,"1997-01-27",189,83,"Germany",72,80,4200000,9000,"CB","Right",1,3,2,"Medium/Medium","Normal","No",7500000,"","SUB",28,"","2016-05-07",2021,"",NA,74,37,60,58,69,74,NA,NA,NA,NA,NA,NA,"Injury Prone, Leadership",49,25,66,73,39,53,39,22,67,66,67,79,54,69,50,59,66,65,79,45,73,66,29,59,26,65,65,75,73,14,14,11,12,10,52,52,52,55,54,54,54,55,57,57,57,58,62,62,62,58,66,69,69,69,66,67,70,70,70,67,"Bundesliga","Germany","CB","Defender"
"10","1. FC Nürnberg",208730,"https://sofifa.com/player/208730/enrico-valentini/20/159586","E. Valentini","Enrico Valentini",30,"1989-02-20",182,78,"Germany",71,71,1900000,9000,"RB, RM","Right",1,3,3,"Medium/Medium","Normal","No",3000000,"","SUB",22,"","2017-07-01",2020,"",NA,76,59,69,71,65,74,NA,NA,NA,NA,NA,NA,"Injury Prone",78,55,55,71,51,72,70,71,62,71,77,76,71,69,70,69,68,78,72,62,77,63,55,61,61,67,67,67,68,7,8,14,14,10,64,64,64,68,66,66,66,68,66,66,66,69,66,66,66,69,71,68,68,68,71,69,67,67,67,69,"Bundesliga","Germany","RB","Defender"
